X,CCX3MWT1,CCX3MWT3,CCX3MWT4,CCX3MWT5,CCX3MWT6,CCX3MTG1,CCX3MTG3,CCX3MTG4,CCX3MTG5,CCX3MTG6,CCX6MWT1,CCX6MWT2,CCX6MWT3,CCX6MWT4,CCX6MWT5,CCX6MTG1,CCX6MTG3,CCX6MTG4,CCX6MTG5,CCX6MTG6
ENSMUSG00000025192,9.379203634,9.469823982,9.403936609,9.593790434,9.494633096,9.516429342,9.474332211,9.556812193,9.408758344,9.560700822,9.334325813,9.372958638,9.393485485,9.444580717,9.517610115,9.262501127,9.270967779,9.25100108,9.423564052,9.299881578
ENSMUSG00000025207,10.19318484,10.27228108,10.16806657,10.26791027,10.13426371,10.22851861,10.21613146,10.03431663,10.17474583,10.14719611,10.41313829,10.22834138,10.31305797,10.33101002,10.2359442,10.40882592,10.35830689,10.63116606,10.48554402,10.37485413
ENSMUSG00000025232,10.69897888,10.86951295,10.70478631,10.8103514,10.70701668,10.78284716,10.79090604,10.64520818,10.7843218,10.7918126,10.78603707,10.66928576,10.71478314,10.73821959,10.75095118,11.09932099,10.97788777,11.34959074,11.25136588,11.11586686
ENSMUSG00000025239,8.93340234,8.998990391,8.992794313,8.976696038,8.957589936,8.850409116,8.893216262,8.935926807,8.983184311,8.916294984,9.042626793,9.062779052,9.163779507,8.992929661,8.992437201,9.233533418,9.025794654,9.193220692,9.257393517,9.197360076
ENSMUSG00000025241,11.40730356,11.3742295,11.34347417,11.38856333,11.3993654,11.45664047,11.43544675,11.39983553,11.51717219,11.47355376,11.57373568,11.49383999,11.56967625,11.43951197,11.39255399,11.67584108,11.64888907,11.74106566,11.75961784,11.71898224
ENSMUSG00000025266,13.43064451,13.3186924,13.38387774,13.29224149,13.34698034,13.41976471,13.39458776,13.40569425,13.36912418,13.41057664,13.30890173,13.36614063,13.32262043,13.26739256,13.2594772,13.22266075,13.18097822,13.074094,13.10663031,13.19319897
ENSMUSG00000025277,10.72450387,11.00167875,10.85731062,10.8923764,10.87756932,10.81401554,10.8791841,10.80638341,10.7902737,10.93291543,10.7354721,10.68717974,10.79776888,10.81940105,10.91757622,10.56346211,10.71432465,10.52113278,10.56092991,10.54553413
ENSMUSG00000025278,12.19033253,12.23227051,12.23889645,12.29640112,12.27113825,12.22137353,12.25241168,12.27597886,12.28894237,12.15571643,12.22125297,12.36535197,12.34753842,12.31978036,12.2654813,12.57524357,12.35655849,12.56664935,12.52634949,12.46625216
ENSMUSG00000025283,10.275033,10.34882136,10.3176438,10.19358397,10.31507949,10.16529508,10.26849785,10.33919891,10.2238282,10.25641067,10.28578776,10.30997603,10.3471304,10.26158659,10.18328915,11.27402777,10.64136601,11.53015464,11.48485966,10.91876019
ENSMUSG00000025324,9.205870183,9.357763534,9.288720763,9.316679075,9.367715193,9.261556969,9.278260772,9.222665248,9.274806043,9.306196883,9.297108115,9.224871301,9.305017763,9.322249939,9.281149252,9.371609532,9.556801701,9.637701553,9.469642915,9.382167895
ENSMUSG00000025348,8.84990886,8.998042639,8.964440354,9.040770002,8.919304178,8.962840776,9.148405589,8.959232358,8.929895686,8.918017594,9.030980337,9.12101271,9.137860426,8.971811256,8.888866734,9.605811133,9.113816453,9.675367652,9.656892566,9.305054575
ENSMUSG00000025351,9.90020124,9.84522811,9.803247817,9.877591471,9.819794478,9.91263948,9.938078878,10.04186428,9.95079138,9.978265067,10.17594837,10.00505049,10.03589881,9.935931485,9.965805843,11.21108925,10.41940579,11.15661235,11.22509549,10.75561438
ENSMUSG00000025355,7.09445968,6.915235021,7.141242571,7.100871732,7.01486121,7.225623364,7.069033188,7.046596311,7.156495429,7.081172522,7.313692975,7.113797131,7.128474047,6.942963669,7.072134834,7.497640507,7.23585983,7.721107656,7.362661026,7.430535054
ENSMUSG00000025357,8.763765156,8.782833036,8.764234763,8.863538746,8.704567494,8.841765032,8.679546797,8.766678467,8.789494727,8.689754372,8.850632177,8.876799498,9.010782262,8.990094022,8.929645031,9.005709342,8.979402409,9.268529753,9.048110744,9.042210097
ENSMUSG00000025358,6.734426911,6.647462714,6.719463635,6.618429637,6.728470527,6.635779729,6.541237258,6.698679913,6.643176537,6.554993581,6.733238321,6.739340981,6.746630308,6.553312507,6.75427279,7.160048037,6.743463856,7.154006393,7.114562947,6.898065571
ENSMUSG00000025362,10.86861943,10.8104232,10.72906786,10.95272507,10.99293036,10.68959956,10.91467798,10.79188836,10.95792123,10.8725134,10.9290812,10.80922124,10.76814977,11.0182802,11.01453265,10.92130806,11.00553996,11.35292476,11.03879851,10.96921725
ENSMUSG00000025366,9.155031758,9.251494706,9.24257194,9.339875681,9.152690124,9.218574103,9.233968505,9.308292931,9.131520433,9.112865394,9.288657046,9.297394778,9.377649474,9.379844912,9.297381239,9.731643134,9.461482639,9.740915015,9.693540119,9.598318668
ENSMUSG00000025370,9.892054884,9.64109732,9.875029499,9.88508987,9.693459007,9.901565902,9.690338523,9.731287688,9.968750019,9.725959422,9.718886221,9.754457831,9.675249695,9.826719833,9.798024864,9.595502358,9.746304754,9.396936415,9.575302925,9.570921965
ENSMUSG00000025408,9.574005256,9.758267998,9.549246503,9.70008638,9.674758395,9.512800353,9.567659152,9.560119519,9.578151015,9.628898451,9.720770376,9.735840632,9.766560142,9.647883197,9.74375307,9.939942945,9.790241249,10.01652515,10.0191616,9.860993931
ENSMUSG00000025409,11.13183235,11.10781109,11.02487923,11.16107486,11.02330664,11.06679435,11.13609154,11.01652018,11.10083996,10.98396913,11.1591052,11.22199593,11.23507305,11.36760054,11.25683103,11.25574736,11.31341607,11.5287701,11.28873675,11.35042988
ENSMUSG00000025425,11.39068991,11.46122951,11.3218063,11.43450616,11.50008447,11.40202817,11.4872161,11.45645853,11.4359176,11.44104681,11.29244266,11.24476437,11.32516213,11.34069594,11.38920831,11.19200083,11.25439974,11.04565276,11.1667505,11.18541656
ENSMUSG00000025427,11.64530817,11.82629963,11.68755575,11.75597842,11.90447971,11.68507128,11.88390602,11.75577725,11.84357838,11.91444829,11.48768828,11.51655871,11.57311589,11.642371,11.65646121,11.46428887,11.55565339,11.39477686,11.46745608,11.58329966
ENSMUSG00000025437,12.70437164,12.66852448,12.76711904,12.66769401,12.72342463,12.70703488,12.70509425,12.71502819,12.73006376,12.70430806,12.63000736,12.60853763,12.63657281,12.66517774,12.70933947,12.47277115,12.60778826,12.41878995,12.39163394,12.46726108
